Command_Name,PostableCommandName,Description,CanHaveBinding,NeedBinding,CanWorkWithSelection,Code
Align Elements Top,AlignElementsTop,Aligns selected elements to the topmost element,TRUE,FALSE,FALSE,ID_TEXTNOTE_TOP_ALIGN
Align Text Bottom,AlignTextBottom,Sets text vertical alignment to bottom,TRUE,FALSE,FALSE,ID_ALIGN_BOTTOM
Align Text Center,AlignTextCenter,Sets text horizontal alignment to center,TRUE,FALSE,FALSE,ID_ALIGN_CENTER
Align Text Left,AlignTextLeft,Sets text horizontal alignment to left,TRUE,FALSE,FALSE,ID_ALIGN_LEFT
Align Text Middle,AlignTextMiddle,Sets text vertical alignment to middle,TRUE,FALSE,FALSE,ID_ALIGN_MIDDLE
Align Text Right,AlignTextRight,Sets text horizontal alignment to right,TRUE,FALSE,FALSE,ID_ALIGN_RIGHT
Align Text Top,AlignTextTop,Sets text vertical alignment to top,TRUE,FALSE,FALSE,ID_ALIGN_TOP
Aligned Dimension,AlignedDimension,Places a dimension aligned to the selected references,TRUE,TRUE,FALSE,
Aligned Multi-Rebar Annotation,AlignedMultiRebarAnnotation,Places an aligned annotation for multiple rebar sets,TRUE,FALSE,FALSE,
Alignment Bottom Center,AlignmentBottomCenter,Sets element alignment to bottom center,TRUE,FALSE,FALSE,ID_JUSTIFY_BOTTOM_CENTER
Alignment Bottom Left,AlignmentBottomLeft,Sets element alignment to bottom left,TRUE,FALSE,FALSE,ID_JUSTIFY_BOTTOM_LEFT
Alignment Middle Center,AlignmentMiddleCenter,Sets element alignment to middle center,TRUE,FALSE,FALSE,ID_JUSTIFY_MIDDLE_CENTER
Alignment Middle Left,AlignmentMiddleLeft,Sets element alignment to middle left,TRUE,FALSE,FALSE,ID_JUSTIFY_MIDDLE_LEFT
Alignment Middle Right,AlignmentMiddleRight,Sets element alignment to middle right,TRUE,FALSE,FALSE,ID_JUSTIFY_MIDDLE_RIGHT
Alignment Station,AlignmentStation,Places an alignment station marker on an infrastructure alignment,TRUE,FALSE,FALSE,
Alignment Station Label Types,AlignmentStationLabelTypes,Manages label types for alignment station markers,TRUE,FALSE,FALSE,
Alignment Station Set,AlignmentStationSet,Creates a set of alignment station markers along an alignment,TRUE,FALSE,FALSE,
Alignment Top Center,AlignmentTopCenter,Sets element alignment to top center,TRUE,FALSE,FALSE,ID_JUSTIFY_TOP_CENTER
Alignment Top Left,AlignmentTopLeft,Sets element alignment to top left,TRUE,FALSE,FALSE,ID_JUSTIFY_TOP_LEFT
Alignment Top Right,AlignmentTopRight,Sets element alignment to top right,TRUE,FALSE,FALSE,ID_JUSTIFY_TOP_RIGHT
Allow Wall Join,AllowWallJoin,Allows walls to automatically join at their ends,TRUE,FALSE,TRUE,IDC_WALL_END_JOINABLE
Allowable Bar Types,AllowableBarTypes,Specifies which rebar bar types are allowed for selected elements,TRUE,FALSE,TRUE,
Analysis Display Styles,AnalysisDisplayStyles,Manages display styles for analysis result visualization,TRUE,FALSE,FALSE,
Analytical Automation,AnalyticalAutomation,Automates the creation and adjustment of analytical models,TRUE,FALSE,FALSE,
Analytical Consistency Checks,AnalyticalConsistencyChecks,Checks analytical model consistency with the physical model,TRUE,FALSE,TRUE,
Analytical Link,AnalyticalLink,Creates an analytical link element in the structural model,TRUE,FALSE,FALSE,
Analytical Member,AnalyticalMember,Creates an analytical member element in the structural model,TRUE,FALSE,FALSE,
Anchors,Anchors,Places post-installed anchor elements on structural connections,TRUE,TRUE,TRUE,
Angular Dimension,AngularDimension,Places a dimension that measures the angle between references,TRUE,TRUE,FALSE,
Angular Dimension Types,AngularDimensionTypes,Manages angular dimension type settings,TRUE,FALSE,FALSE,
Apply Coping,ApplyCoping,Applies a coping cut to a steel beam at a column connection,TRUE,TRUE,TRUE,
Apply Hide/Isolate to View,ApplyHideIsolateToView,Makes temporary hide/isolate settings permanent in the view,TRUE,TRUE,FALSE,ID_TEMPHIDE_MAKEPERM
Apply Template Properties to Current View,ApplyTemplatePropertiesToCurrentView,Applies a view template to the current view,TRUE,TRUE,FALSE,ID_APPLY_VIEW_TEMPLATE
Arc Length Dimension,ArcLengthDimension,Places a dimension measuring the arc length of a curved element,TRUE,TRUE,FALSE,
Arc Wire,ArcWire,Draws an arc-shaped electrical wire,TRUE,FALSE,FALSE,
Architectural Column,ArchitecturalColumn,Places an architectural column in the building model,TRUE,TRUE,FALSE,ID_OBJECTS_COLUMN
Architectural Floor,ArchitecturalFloor,Creates an architectural floor element by sketching its boundary,TRUE,TRUE,FALSE,ID_OBJECTS_FLOOR
Architectural Wall,ArchitecturalWall,Creates an architectural wall in the building model,TRUE,TRUE,FALSE,
Area,Area,Places an area element in an area plan view,TRUE,TRUE,FALSE,ID_OBJECTS_AREA
Area and Volume Computations,AreaAndVolumeComputations,Configures area and volume computation methods for rooms and areas,TRUE,TRUE,FALSE,
Area Based Load Boundary,AreaBasedLoadBoundary,Defines the boundary for an area-based structural load,TRUE,FALSE,FALSE,
Area Boundary,AreaBoundary,Draws boundary lines that define area regions,TRUE,TRUE,FALSE,ID_AREA_BOUNDARY
Area Plan,AreaPlan,Creates a new area plan view for the project,TRUE,TRUE,FALSE,ID_VIEW_NEW_AREAPLAN
Area Reinforcement Symbol,AreaReinforcementSymbol,Manages area reinforcement annotation symbols,TRUE,FALSE,FALSE,
Area Tag,AreaTag,Places a tag that displays area information,TRUE,TRUE,FALSE,ID_AREA_TAG
Array,Array,Creates a linear or radial array of selected elements,TRUE,TRUE,TRUE,ID_EDIT_ARRAY
Arrowheads,Arrowheads,Manages arrowhead styles for leaders and dimensions,TRUE,FALSE,FALSE,ID_SETTINGS_ANNOTATIONS_LEADERS
Assembly Code,AssemblyCode,Configures assembly code classification settings,TRUE,FALSE,FALSE,ID_SETTINGS_ASSEMBLY_CODE
Assisted Association,AssistedAssociation,Enables assisted association mode for analytical model elements,TRUE,FALSE,FALSE,ID_ENABLE_ANALYTICAL_ASSISTED_ASSOCIATION
Attach Detail Group,AttachDetailGroup,Attaches a detail group to a model group,TRUE,TRUE,TRUE,ID_EDITGROUP_ATTACH_TO_GROUP
Attach to Structure (Fabrication),AttachToStructureFabrication,Attaches a fabrication hanger to a structural element,TRUE,FALSE,FALSE,ID_FABRICATION_HANGER_ATTACH
Auto Ceiling,AutoCeiling,Automatically creates a ceiling in an enclosed room,TRUE,TRUE,FALSE,ID_AUTO_CEILING
Auto Clip Elevation,AutoClipElevation,Automatically clips the elevation view extents,TRUE,FALSE,FALSE,ID_AUTO_CLIP_ELEV
Automatic Beam System,AutomaticBeamSystem,Creates a beam system by automatically detecting boundaries,TRUE,TRUE,FALSE,
Automatic Ceiling,AutomaticCeiling,Places a ceiling by automatically detecting room boundaries,TRUE,TRUE,FALSE,ID_OBJECTS_CEILING
Automatically Connect,AutomaticallyConnect,Automatically connects selected MEP elements,TRUE,FALSE,FALSE,ID_RBS_BTNAUTOCONNECT
Axis Line,AxisLine,Draws an axis line for revolve or sweep operations,TRUE,FALSE,FALSE,ID_OBJECTS_AXIS
Background Processes,BackgroundProcesses,Shows the status of background processes running in Revit,FALSE,FALSE,FALSE,ID_PARALLEL_INDICATOR
Batch Print,BatchPrint,Prints multiple sheets or views in a single batch operation,TRUE,TRUE,FALSE,
Beam,Beam,Places a structural beam in the building model,TRUE,TRUE,FALSE,ID_OBJECTS_BEAM
Beam Annotations,BeamAnnotations,Places beam annotation symbols on structural framing,TRUE,TRUE,FALSE,
Beam System Symbol,BeamSystemSymbol,Manages beam system annotation symbols,TRUE,FALSE,FALSE,
Beam/Column Joins,BeamOrColumnJoins,Manages join conditions between beams and columns,TRUE,TRUE,TRUE,
Bolts,Bolts,Places bolt connections on steel structural elements,TRUE,TRUE,TRUE,
Bottom Chord,BottomChord,Selects the bottom chord of a structural truss for editing,TRUE,FALSE,FALSE,
Boundary Conditions,BoundaryConditions,Defines boundary conditions for structural analysis,TRUE,FALSE,FALSE,
Boundary Conditions Settings,BoundaryConditionsSettings,Configures settings for structural boundary conditions,TRUE,FALSE,FALSE,
Brace,Brace,Places a structural brace in the building model,TRUE,TRUE,FALSE,ID_OBJECTS_BRACE
Browser Organization,BrowserOrganization,Configures how views and sheets are organized in the Project Browser,TRUE,TRUE,FALSE,ID_BROWSER_ORGANIZATION
Building Elevation,BuildingElevation,Creates a new building elevation view,TRUE,TRUE,FALSE,ID_VIEW_NEW_ELEVATION
Building Operating Schedules,BuildingOperatingSchedules,Defines operating schedules for energy analysis,TRUE,FALSE,FALSE,ID_OPERATING_SCHEDULES
Building Pad,BuildingPad,Creates a building pad on a toposolid or toposurface,TRUE,TRUE,FALSE,
Building/Space Type Settings,BuildingOrSpaceTypeSettings,Configures building and space type settings for energy analysis,TRUE,FALSE,FALSE,
Cable Tray,CableTray,Places a cable tray in the electrical system,TRUE,TRUE,FALSE,
Cable Tray Connector,CableTrayConnector,Places a connector on a cable tray family,TRUE,FALSE,FALSE,
Cable Tray Fitting,CableTrayFitting,Places a fitting on a cable tray run,TRUE,TRUE,FALSE,
Callout,Callout,Creates a callout view to show a detail of a larger view,TRUE,TRUE,FALSE,ID_VIEW_NEW_CALLOUT
Callout Sketch,CalloutSketch,Creates a callout view with a custom sketch boundary,TRUE,TRUE,FALSE,ID_VIEW_NEW_CALLOUT_SKETCH
Callout Tags,CalloutTags,Manages callout tag annotation styles,TRUE,FALSE,FALSE,
Camera,Camera,Creates a 3D perspective view from a camera position,TRUE,TRUE,FALSE,ID_VIEW_NEW_3D_WALKTHROUGH
Cancel Analytical Automation,AnalyticalCancel,Cancels the current analytical automation operation,TRUE,FALSE,FALSE,ID_ANALYTICAL_AUTOMATION_EDIT_MODE_CANCEL
Cancel Analytical Relation,CancelAnalyticalRelation,Cancels the current analytical relation editing session,TRUE,FALSE,FALSE,ID_ANALYTICAL_RELATIONSHIP_EDIT_MODE_CANCEL
Cancel Area Load Dividing,CancelAreaLoadDividing,Cancels the area-based load dividing operation,TRUE,FALSE,FALSE,ID_RBS_CANCEL_AREA_BASED_LOAD_DIVIDE_MODE
Cancel Displacement Edit,CancelDisplacementEdit,Cancels the current displacement set editing session,TRUE,FALSE,FALSE,ID_DISPLACEMENT_CANCEL_EDIT
Cancel Edit Mode,CancelEditMode,Cancels the current sketch or edit mode without saving,TRUE,FALSE,FALSE,ID_CANCEL_SKETCH
Cancel Group Edit,CancelGroupEdit,Cancels group editing without saving changes,TRUE,FALSE,FALSE,ID_CANCEL_GROUP_EDIT_MODE
Cancel Level Landings Edit,CancelLevelLandingsEdit,Cancels level landings editing without saving,TRUE,FALSE,FALSE,ID_QUIT_LEVEL_LANDINGS_EDIT
Cancel Light Group Edit,CancelLightGroupEdit,Cancels light group editing without saving,TRUE,FALSE,FALSE,ID_CANCEL_LIGHT_GROUP_EDIT
Cancel Paste,CancelPaste,Cancels the current paste operation,TRUE,FALSE,FALSE,ID_QUIT_PASTE
Cancel Paste Edit Mode,CancelPasteEditMode,Cancels the paste edit mode without applying changes,TRUE,FALSE,FALSE,ID_QUIT_PASTE_EDIT_MODE
Cancel Profile Edit Mode,CancelProfileEditMode,Cancels profile editing without saving changes,TRUE,FALSE,FALSE,ID_QUIT_SKETCH_PROFILE
Cancel Rebar Edit,CancelRebarEdit,Cancels the current rebar editing session,TRUE,FALSE,FALSE,ID_REBAR_CANCEL_EDIT_BARS
Cancel Splice Rebar,CancelSpliceRebar,Cancels the current rebar splice operation,TRUE,FALSE,FALSE,ID_SPLICE_REBAR_CANCEL
Cancel Stairs Edit Mode,CancelStairsEditMode,Cancels stairs editing without saving changes,TRUE,FALSE,FALSE,ID_STAIRSEDITMODE_QUIT
Canvas Theme,CanvasTheme,Switches between light and dark canvas themes,TRUE,FALSE,FALSE,ID_CANVAS_THEME_SWITCH
Cap Open Ends,CapOpenEnds,Caps the open ends of selected duct or pipe runs,TRUE,FALSE,FALSE,ID_RBS_CAP_OPEN_ENDS
Cascade Windows,CascadeWindows,Arranges open view windows in a cascading layout,TRUE,FALSE,FALSE,
Catalog Organization,CatalogOrganization,Organizes the fabrication parts catalog,TRUE,FALSE,FALSE,ID_CATALOG_ORGANIZATION
Center of Rotation on Selection,CenterRotationOnSelection,Sets the 3D orbit center to the selected element,TRUE,FALSE,FALSE,ID_DEFAULT_ROTATION_CENTER
Chamfered Wire,ChamferedWire,Draws a chamfered electrical wire with angled bends,TRUE,FALSE,FALSE,
Change Slope,ChangeSlope,Changes the slope direction of a duct or pipe segment,TRUE,FALSE,FALSE,ID_RBS_BTN_CHANGE_SLOPE
Check Circuits,CheckCircuits,Checks electrical circuits for errors and warnings,TRUE,FALSE,FALSE,
Check Duct Systems,CheckDuctSystems,Checks duct systems for connectivity and sizing errors,TRUE,FALSE,FALSE,
Check Member Supports,CheckMemberSupports,Checks structural member support conditions,TRUE,FALSE,FALSE,
Check Pipe Systems,CheckPipeSystems,Checks pipe systems for connectivity and sizing errors,TRUE,FALSE,FALSE,
Check Spelling,CheckSpelling,Checks spelling of text notes and annotations,TRUE,FALSE,FALSE,ID_CHECK_SPELLING
Circle,Circle,Draws a circle shape in sketch mode,TRUE,FALSE,FALSE,IDC_RADIO_CIRCLE
Circumscribed Polygon,CircumscribedPolygon,Draws a polygon circumscribed around a circle,TRUE,FALSE,FALSE,ID_OBJECTS_CURVE_POLY_CIRCUMSCRIBED
Circumscribed Polygon (Radio),CircumscribedPolygonRadio,Selects circumscribed polygon as the active drawing tool,TRUE,FALSE,FALSE,IDC_RADIO_CIRCUMSCRIBED_POLYGON
Close,Close,Closes the current document,TRUE,FALSE,FALSE,
Close Hidden Windows,CloseHiddenWindows,Closes all hidden view windows to free memory,TRUE,FALSE,FALSE,ID_VIEW_CLOSE_INACTIVE
Close Text Editor,CloseTextEditor,Closes the text editor and saves changes,TRUE,FALSE,FALSE,ID_TEXTEDITOR_CLOSE
Collaborate,Collaborate,Enables collaboration features for the project,TRUE,TRUE,FALSE,
Collaborate in Cloud,CollaborateInCloud,Enables cloud-based collaboration through BIM 360 or ACC,TRUE,TRUE,FALSE,
Color Fill Legend,ColorFillLegend,Places a color fill legend showing room or area color schemes,TRUE,TRUE,FALSE,ID_OBJECTS_ROOM_FILL
Color Schemes,ColorSchemes,Manages color scheme settings for rooms; areas; and spaces,TRUE,TRUE,FALSE,
Communication,Communication,Opens the communication center for project collaboration,TRUE,FALSE,FALSE,
Conduit,Conduit,Places electrical conduit in the building model,TRUE,TRUE,FALSE,
Conduit Connector,ConduitConnector,Places a connector on a conduit family,TRUE,FALSE,FALSE,
Conduit Fitting,ConduitFitting,Places a fitting on a conduit run,TRUE,TRUE,FALSE,
Connect as Tap,ConnectAsTap,Connects a fabrication part as a tap connection,TRUE,FALSE,FALSE,ID_FABRICATION_PART_CONNECT_AS_TAP
Connect Levels,ConnectLevels,Connects stair runs across multiple levels,TRUE,FALSE,FALSE,ID_PICK_LEVELS_ON_STAIRS_CREATION
Connection Settings,ConnectionSettings,Configures steel connection design settings,TRUE,FALSE,FALSE,
Content Tree Browser,ContentTreeBrowser,Opens the content tree browser for fabrication parts,TRUE,FALSE,FALSE,ID_CONTENT_TREE
Continuous Orbit,ContinuousOrbit,Spins the 3D view continuously in the specified direction,TRUE,FALSE,FALSE,ID_CONTINUOUS_ORBIT
Contour Cut,ContourCut,Applies a contour cut to selected elements,TRUE,FALSE,TRUE,
Control,Control,Places a control element on a family or detail component,TRUE,TRUE,FALSE,ID_OBJECTS_CONTROL
Controls on Base,ControlsOnBase,Shows shape editing controls on the base of a floor or roof,TRUE,FALSE,FALSE,IDC_VTX_CTRL_ON_LOOP_0
Controls on Top,ControlsOnTop,Shows shape editing controls on the top of a floor or roof,TRUE,FALSE,FALSE,IDC_VTX_CTRL_ON_LOOP_1
Convert Old Railings,ConvertOldRailings,Converts legacy railings to the current railing system,TRUE,TRUE,TRUE,ID_CONVERT_OLD_RAILING_INTO_NEW_TYPE
Convert Stairs to Sketch-Based,ConvertStairsToSketchBased,Converts component-based stairs to sketch-based stairs,TRUE,TRUE,TRUE,ID_STAIRS_CONVERT_TO_CUSTOM
Convert to Component,ConvertToComponent,Converts a sketch-based element to a component-based element,TRUE,FALSE,TRUE,ID_CONVERT_T
Convert to Flex Duct,ConvertToFlexDuct,Converts a rigid duct segment to flexible duct,TRUE,TRUE,TRUE,
Coordination - Select Link,CoordinationSelectLink,Selects a linked model for coordination review,TRUE,FALSE,FALSE,
Coordination Check Changes,CoordinationCheckChanges,Checks for changes between coordination models,TRUE,FALSE,FALSE,ID_COORDINATION_CHECK_CHANGES
Coordination Model - Autodesk Docs,CoordinationModelAutodeskDocs,Links a coordination model from Autodesk Docs,TRUE,FALSE,FALSE,
Coordination Model - Local,CoordinationModelLocal,Links a local coordination model file,TRUE,FALSE,FALSE,
Coordination Review - Use Current Project,CoordinationReviewUseCurrentProject,Starts a coordination review using the current project,TRUE,FALSE,FALSE,
Coordination Settings,CoordinationSettings,Configures coordination review settings,TRUE,FALSE,FALSE,
Cope,Cope,Applies a coping cut to a steel beam,TRUE,TRUE,TRUE,
Cope Skewed,CopeSkewed,Applies a skewed coping cut to a steel beam,TRUE,TRUE,TRUE,
Copy,Copy,Copies selected elements and places them at a new location,TRUE,TRUE,TRUE,ID_EDIT_COPY
Copy Selection to New File,CopySelectionToNewFile,Copies selected elements to a new Revit file,TRUE,TRUE,TRUE,ID_EDIT_COPY_TO_NEW_FILE
Copy to Clipboard,CopyToClipboard,Copies selected elements to the clipboard,TRUE,TRUE,TRUE,ID_EDIT_COPY
Copy/Monitor - Select Link,CopyMonitorSelectLink,Selects a linked model for copy/monitor operations,TRUE,TRUE,FALSE,
Copy/Monitor - Use Current Project,CopyMonitorUseCurrentProject,Starts copy/monitor using elements in the current project,TRUE,TRUE,FALSE,
Corner Cut,CornerCut,Applies a corner cut to a steel member,TRUE,TRUE,TRUE,
Create Alignment,CreateAlignment,Creates an infrastructure alignment element,TRUE,FALSE,FALSE,ID_INFRASTRUCTURE_CREATE_ALIGNMENT
Create an Area Based Load,CreateAnAreaBasedLoad,Creates a structural load distributed over an area,TRUE,FALSE,FALSE,
Create Assembly,CreateAssembly,Creates an assembly from selected elements,TRUE,TRUE,TRUE,
Create Assembly (Ribbon),CreateAssemblyCommand,Creates an assembly from the ribbon interface,TRUE,TRUE,FALSE,ID_CREATE_ASSEMBLY
Create Connected Duct/Pipe,CreateConnectedDuctPipe,Creates duct or pipe connected to existing connectors,TRUE,FALSE,FALSE,ID_CREATE_DUCT_PIPE_FOR_CONNECTORS
Create Contour,CreateContour,Draws a contour line on a toposolid surface,TRUE,FALSE,FALSE,ID_EXT_ENTITY_CONTOUR
Create Contour - Arc Center Ends,CreateContourArcCenterEnds,Draws a contour arc defined by center and end points,TRUE,FALSE,FALSE,ID_EXT_ENTITY_CONTOUR_ARC_CENTER_ENDS
Create Contour - Arc Three Points,CreateContourArcThreePoints,Draws a contour arc passing through three points,TRUE,FALSE,FALSE,ID_EXT_ENTITY_CONTOUR_ARC_THREE_PNT
Create Contour - Circumscribed Polygon,CreateContourPolygonCircumscribed,Draws a circumscribed polygon contour on a toposolid,TRUE,FALSE,FALSE,ID_EXT_ENTITY_CONTOUR_POLY_CIRCUMSCRIBED
Create Contour - Fillet Arc,CreateContourFilletArc,Draws a fillet arc contour on a toposolid,TRUE,FALSE,FALSE,ID_EXT_ENTITY_CONTOUR_ARC_FILLET
Create Contour - Inscribed Polygon,CreateContourPolygonInscribed,Draws an inscribed polygon contour on a toposolid,TRUE,FALSE,FALSE,ID_EXT_ENTITY_CONTOUR_POLY_INSCRIBED
Create Contour - Line,CreateContourLine,Draws a straight line contour on a toposolid,TRUE,FALSE,FALSE,ID_EXT_ENTITY_CONTOUR_LINE
Create Contour - Rectangle,CreateContourRectangle,Draws a rectangular contour on a toposolid,TRUE,FALSE,FALSE,ID_EXT_ENTITY_CONTOUR_RECT
Create Energy Model,CreateEnergyModel,Creates an energy analytical model for simulation,TRUE,FALSE,FALSE,
Create Fabrication Element,CreateFabricationElement,Creates a fabrication part from a design element,TRUE,FALSE,FALSE,ID_CREATE_FABRICATIONPART
Create Fabrication Job,CreateFabricationJob,Creates a new fabrication job for manufacturing,TRUE,FALSE,FALSE,ID_CREATE_FABRICATION_JOB
Create Fabrication Spool,CreateFabricationSpool,Creates a fabrication spool for field installation,TRUE,FALSE,FALSE,ID_CREATE_FABPATS_SPOOL
Create Footing at Grid Intersection,CreateFootingAtGrid,Creates a structural footing at a grid intersection,TRUE,FALSE,FALSE,ID_CREATE_FOOTING_BY_GRID_INTERSECTION
Create Footing at Structural Column,CreateFootingAtColumn,Creates a structural footing under a column,TRUE,FALSE,FALSE,ID_CREATE_FOOTING_FROM_STRUCTURAL_COLUMN
Create Group,CreateGroup,Creates a group from selected elements,TRUE,TRUE,TRUE,ID_EDIT_GROUP
Create Layer by Face,CreateLayerByFace,Creates a toposolid layer by picking a face,TRUE,FALSE,FALSE,ID_CREATE_LAYER_BY_FACE
Create Layer by Sketch,CreateLayerBySketch,Creates a toposolid layer by sketching a boundary,TRUE,FALSE,FALSE,ID_CREATE_LAYER_BY_SKETCH
Create Parameter,CreateParameter,Creates a new project or shared parameter,TRUE,TRUE,FALSE,ID_ADD_PARAMETER
Create Parts,CreateParts,Creates individual parts from compound elements like walls and floors,TRUE,TRUE,TRUE,
Create Plan View,CreatePlanView,Creates a new plan view for the project,TRUE,FALSE,FALSE,ID_MAKE_PLAN_VIEW
Create Similar,CreateSimilar,Starts placing a new element of the same type as selected,TRUE,TRUE,TRUE,ID_EDIT_CREATE_SIMILAR
Create Template from Current View,CreateTemplateFromCurrentView,Creates a view template based on the current view settings,TRUE,TRUE,FALSE,ID_CREATE_VIEW_TEMPLATE
Create Toposolid from CSV,CreateToposolidFromCSV,Creates a toposolid by importing elevation points from a CSV file,TRUE,TRUE,FALSE,ID_SITE_TOPO_SOLID_IMPORT_POINTS
Create Toposolid from Import,CreateToposolidFromImport,Creates a toposolid from an imported CAD file,TRUE,TRUE,FALSE,ID_SITE_TOPO_SOLID_FROM_IMPORT
Create Vertical,CreateVertical,Creates a vertical duct or pipe segment,TRUE,FALSE,FALSE,ID_RBS_BTNADDVERTICAL
CSV File Into Family Size Table,CSVFileIntoFamilySizeTable,Imports a CSV file into a family size lookup table,TRUE,FALSE,FALSE,ID_RBS_CSVFILE_INTO_FAMILY_SIZETABLE
Curtain Grid,CurtainGrid,Places a curtain grid line on a curtain wall or system,TRUE,TRUE,FALSE,ID_OBJECTS_CURTAINGRID
Curtain Grid Add/Remove Segments,CurtainGridAddRemoveSegments,Adds or removes segments from a curtain grid,TRUE,FALSE,FALSE,IDC_CURTA_GRID_LINE_ADD_REMOVE_SEGS
Curtain System by Face,CurtainSystemByFace,Creates a curtain system on a selected face,TRUE,TRUE,FALSE,ID_OBJECTS_CURTA_SURFACE_SYSTEM
Curtain System by Mesh,CurtainSystemByMesh,Creates a curtain system on a mesh surface,TRUE,TRUE,FALSE,ID_OBJECTS_CURTA_MESH_SYSTEM
Curtain Wall Mullion,CurtainWallMullion,Places a mullion on a curtain wall grid,TRUE,TRUE,FALSE,ID_OBJECTS_CURTAMULLION
Cut By,CutBy,Cuts a steel element using another element as the cutting shape,TRUE,TRUE,TRUE,
Cut Geometry,CutGeometry,Cuts the geometry of one element using another element,TRUE,TRUE,TRUE,
Cut Profile,CutProfile,Edits the cut profile of an element in a section or detail view,TRUE,TRUE,TRUE,ID_EDIT_CUT_BOUNDARY
Cut Through,CutThrough,Cuts through a steel element completely,TRUE,TRUE,TRUE,
